,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1976.0,8.0,24.0,0.0,58.0
1,1972.0,5.0,28.0,1.0,63.0
2,1969.0,1.0,31.0,2.0,64.0
3,1969.0,0.0,31.0,3.0,64.0
4,1969.0,0.0,31.0,4.0,64.0
5,1969.0,0.0,31.0,5.0,64.0
6,1969.0,0.0,31.0,6.0,64.0
7,1969.0,0.0,31.0,7.0,64.0
8,1969.0,0.0,31.0,8.0,64.0
9,1969.0,0.0,31.0,9.0,64.0
10,1969.0,0.0,31.0,10.0,64.0
11,1969.0,0.0,31.0,11.0,64.0
12,1969.0,0.0,31.0,12.0,64.0
13,1969.0,0.0,31.0,13.0,64.0
14,1969.0,0.0,31.0,14.0,64.0
15,1969.0,0.0,31.0,15.0,64.0
16,1969.0,0.0,31.0,16.0,64.0
17,1969.0,0.0,31.0,17.0,64.0
18,1969.0,0.0,31.0,18.0,64.0
19,1969.0,0.0,31.0,19.0,64.0
20,1969.0,0.0,31.0,20.0,64.0
